"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C15,C24,C27,C30,C32";"C_1206";5;"10uF";;;
2;"C1,C2,C3,C4,C8,C9,C10,C16,C17,C19,C20,C22,C23,C25,C26,C29,C31,C21";"C_0805";18;"100nF";;;
3;"C5";"C_0805";1;"10nF";;;
4;"C6,C7";"C_0805";2;"10pF";;;
5;"C11";"C_1210";1;"100uF";;;
6;"C12,C18";"C_0805";2;"20pF";;;
7;"C13,C14";"C_0805";2;"36pF";;;
8;"D1";"LED_0805";1;"Blue LED";;;
9;"D2";"LED_0805";1;"Green LED";;;
10;"D3,D8";"LED_0805";2;"LED";;;
11;"D4";"LED_0805";1;"Red LED";;;
12;"FB1,FB2,FB3,FB4,FB5,FB6,FB7,FB8";"C_0805";8;"BLM21PG331SN1D";;;
13;"K1";"MK12C02";1;"MK12C02";;;
14;"L1,L3";"C_0805";2;"56nH";;;
15;"L2";"C_0805";1;"68nH";;;
16;"P1";"Pin_Header_Straight_2x03_Pitch2.00mm";1;"ISP";;;
17;"P2";"JST_EH_B02B-EH-A_02x2.50mm_Straight";1;"BATTERY";;;
18;"P4";"USB_Micro-B";1;"USB_OTG";;;
19;"R1,R15,R19,R22,R25";"R_0805";5;"10k";;;
20;"R2,R28";"R_0805";2;"0";;;
21;"R3";"R_0805";1;"8k2";;;
22;"R4,R8,R11,R20,R21";"R_0805";5;"100k";;;
23;"R5";"R_0805";1;"15k";;;
24;"R6,R7";"R_0805";2;"1M";;;
25;"R9";"R_0805";1;"n/a";;;
26;"R10,R14,R16,R17,R18,R23";"R_0805";6;"1k";;;
27;"R12";"R_0805";1;"100";;;
28;"R13";"R_0805";1;"1.2k";;;
29;"U1";"HC-05";1;"HC-05";;;
30;"U2";"SOT-23";1;"APE8800N";;;
31;"U3";"SOT-23-5";1;"BU33TD3WG";;;
32;"U4";"TQFP-32_7x7mm_Pitch0.8mm";1;"ATMEGA328P-AU";;;
33;"U6";"SOT-23-6";1;"DW01-P";;;
34;"U7";"SOIC-8-1EP_3.9x4.9mm_Pitch1.27mm";1;"TP4056";;;
35;"U8";"TSSOP-8_4.4x3mm_Pitch0.65mm";1;"8205A";;;
36;"X1";"crystal_FA238-TSX3225";1;"QKT-3225SMD 16.0000MHz";;;
37;"D5,D6,D7,D10,D11,D9";"MiniMELF_Standard";6;"BAT42";;;
38;"U9";"SOIC-8-N";1;"LM358";;;
39;"C28";"C_0805";1;"C";;;
40;"Q1";"SOT-23";1;"MMBT3904";;;
41;"R24,R26,R27";"R_0805";3;"R";;;
42;"SW1";"SW_Tactile_SPST_Angled";1;"SW_PUSH";;;
43;"U10";"Qectel-L80";1;"Quectel-L80";;;
44;"U11";"SC-70-6";1;"FDG6342L";;;
45;"C33,C34";"C_0805";2;"DNI";;;
46;"P5";"U.FL-Coax";1;"U.FL";;;
47;"P6";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"Serial";;;
48;"P3";"CON-SMA-EDGE";1;"SMA";;;
49;"U5";"Dorji_DRA818";1;"DRA818V";;;
